1
2500 50 50
313 380 371 510
758 498 163 566
549 400 335 640
851 294 843 51
657 414 682 192
695 3 670 386
103 989 466 172
153 444 845 415
37 232 925 692
739 630 510 237
307 360 979 577
591 718 531 707
532 39 821 489
663 755 938 94
595 399 70 101
894 599 449 943
627 319 68 161
353 420 546 379
30 971 279 316
201 985 192 622
742 947 235 830
207 513 574 401
792 925 210 75
296 674 686 797
134 90 966 131
468 212 824 725
599 864 884 38
741 133 736 680
644 235 114 518
34 861 183 239
278 49 732 230
6 147 714 699
212 680 113 53
612 602 177 766
574 826 997 625
142 536 490 263
291 411 362 935
126 327 600 492
959 510 804 943
692 257 20 37
547 227 476 915
799 664 354 337
774 112 94 753
47 796 290 551
282 494 938 939
413 12 468 450
508 724 415 555
845 132 798 129
682 489 657 975
481 46 493 124
191 19 927 659
718 406 75 176
225 300 249 920
773 382 563 703
740 285 48 11
252 323 703 115
352 616 220 446
303 630 763 383
627 50 269 319
803 789 253 396
518 416 247 560
277 580 241 982
542 327 631 544
347 37 20 658
609 425 633 225
6 34 937 147
60 639 656 509
925 22 548 714
46 106 837 732
382 534 146 238
176 924 715 660
789 536 537 64
756 625 629 542
857 960 454 807
154 470 211 80
282 139 387 473
43 49 609 181
803 684 783 336
519 336 211 35
227 712 101 506
11 84 900 527
147 430 883 709
751 50 251 742
198 297 394 746
244 715 697 40
518 884 801 634
279 303 956 252
87 181 609 347
589 379 87 938
953 353 938 87
129 798 676 211
586 230 867 837
765 783 666 142
337 287 756 36
510 846 64 969
678 836 705 331
413 75 406 191
160 653 234 178
802 325 505 385
783 765 416 336
80 326 953 252
513 227 23 574
313 510 173 546
904 980 275 994
407 405 676 798
890 886 537 559
428 651 765 618
714 666 386 925
876 607 72 323
929 345 366 216
229 55 69 988
669 994 873 560
953 234 653 800
269 969 547 377
429 682 533 907
101 545 274 944
722 520 376 307
816 52 245 890
998 887 412 960
350 472 540 847
87 873 469 181
207 88 971 642
383 873 583 174
569 299 810 182
906 875 714 263
695 725 320 647
253 789 388 227
142 356 367 710
826 94 535 236
41 120 425 639
541 837 106 278
645 941 740 798
909 616 352 118
278 116 343 989
5 934 803 72
123 877 544 928
322 299 482 500
320 725 67 505
727 805 316 446
727 907 133 733
817 650 497 455
164 551 873 868
225 20 350 313
118 323 33 909
241 682 833 792
697 396 830 196
947 619 577 728
102 385 270 228
361 801 121 500
932 306 544 61
658 709 883 296
292 132 565 421
676 405 658 71
275 593 293 477
316 306 516 284
924 319 782 137
597 33 824 895
124 879 671 337
899 759 47 129
945 848 405 499
885 555 72 875
10 337 210 617
525 917 903 700
357 301 201 622
674 490 927 150
453 655 64 393
925 770 70 216
799 237 597 639
722 783 609 225
468 414 657 139
765 530 76 532
19 956 320 45
425 207 805 10
917 186 617 212
658 249 481 710
209 234 912 294
502 525 600 320
405 176 443 256
921 787 912 768
729 268 924 54
863 443 910 277
375 197 202 675
816 365 20 799
742 612 766 866
114 237 989 343
393 64 846 594
104 744 197 198
407 773 258 603
351 492 780 235
366 345 919 116
730 839 714 326
768 710 367 550
830 194 72 143
271 797 385 736
766 251 65 669
667 721 132 972
141 12 546 698
47 551 540 129
232 265 975 830
132 979 336 676
131 867 447 84
897 339 310 881
927 873 551 177
568 874 913 869
637 168 967 865
536 460 339 537
473 493 715 131
16 536 498 311
313 350 847 572
807 296 883 805
583 411 671 823
591 202 197 910
615 600 483 481
211 955 402 1
800 173 860 244
525 46 94 112
646 667 940 580
301 834 550 969
763 11 931 978
673 290 981 663
26 875 638 364
998 960 660 992
757 652 794 941
117 724 680 413
282 939 340 829
44 398 245 218
999 424 31 463
104 31 1 654
339 657 746 278
19 191 865 663
634 801 508 35
141 584 833 409
227 496 282 223
575 320 728 510
634 575 594 875
709 529 89 531
544 877 674 800
22 83 944 274
142 938 137 346
310 316 261 614
82 833 965 352
84 704 13 559
334 638 375 773
339 663 296 993
615 876 709 705
908 793 694 536
12 785 611 150
979 11 527 757
736 880 594 680
978 764 803 817
449 675 966 410
126 360 633 400
322 854 585 15
41 187 306 120
864 419 187 994
205 840 390 218
670 895 43 577
633 510 940 293
98 972 132 292
222 612 743 874
320 505 969 815
274 101 236 535
43 657 339 300
4 69 993 916
896 339 460 97
616 611 649 805
51 513 600 664
956 270 967 489
975 606 994 425
444 307 82 845
376 213 887 795
312 986 417 473
96 895 634 35
6 31 424 424
848 338 434 755
705 280 937 455
589 690 819 379
804 964 716 943
998 992 326 486
996 729 381 969
867 783 22 589
509 844 654 589
709 531 107 482
834 851 486 140
136 175 807 921
25 233 296 929
386 670 40 264
521 857 691 842
734 9 571 353
686 154 565 929
292 836 678 841
755 139 614 447
416 430 657 247
59 121 10 710
961 402 10 805
107 728 893 58
911 181 320 575
947 123 249 929
245 388 151 565
444 153 277 904
388 715 476 151
500 367 76 513
814 979 10 700
840 414 337 498
518 817 803 902
101 70 572 129
473 33 507 300
139 759 176 551
938 714 548 54
677 912 389 528
565 264 666 450
23 48 179 837
522 222 272 851
308 548 567 252
34 729 897 225
389 671 728 710
826 123 425 94
539 576 225 521
134 658 228 766
726 893 111 612
256 850 91 323
168 529 582 766
114 83 192 985
488 266 196 632
354 278 137 288
133 660 491 710
506 431 149 904
576 360 680 581
995 630 571 601
616 238 410 255
355 445 365 194
640 335 831 313
614 653 160 833
582 529 180 165
690 589 703 563
825 979 675 202
833 682 975 390
873 994 61 665
31 104 698 179
242 897 185 822
901 841 752 576
729 34 500 748
10 402 897 242
309 36 544 631
218 272 645 246
945 513 720 802
36 808 489 544
597 872 579 729
377 342 971 412
377 412 62 876
60 690 714 778
940 155 320 396
190 537 794 876
987 80 324 815
152 312 430 416
615 872 189 794
716 93 704 239
375 661 258 773
919 536 694 252
283 588 805 649
964 828 290 627
137 461 536 830
183 861 515 174
746 381 428 428
212 196 921 220
617 187 419 767
753 645 272 545
770 753 165 194
710 929 211 1
38 45 449 599
618 313 866 428
716 63 765 532
979 360 576 152
763 595 101 96
69 474 937 309
627 101 712 742
892 448 94 74
930 634 898 532
643 404 956 937
486 712 131 944
626 733 133 741
599 894 425 864
354 921 69 309
535 162 808 36
541 121 435 409
297 171 385 102
428 866 766 759
378 817 359 589
254 344 838 954
80 987 695 154
956 482 258 671
447 352 424 84
182 157 793 205
756 542 56 431
113 868 573 384
481 821 331 629
323 303 126 256
344 871 783 211
871 957 928 593
925 714 390 692
766 910 940 486
750 919 275 211
510 380 680 117
367 773 874 432
478 58 632 537
811 900 26 39
567 597 729 454
953 209 396 658
803 834 374 451
21 476 789 206
26 364 150 822
399 720 813 674
973 654 410 966
48 748 510 338
141 698 959 20
766 582 160 178
765 534 382 618
645 362 817 979
452 110 687 732
112 774 851 68
843 456 627 742
612 222 261 316
33 323 753 393
810 856 339 718
535 134 762 162
666 402 84 126
811 678 83 31
657 603 777 139
878 279 555 39
864 653 234 884
717 118 622 286
484 677 83 114
178 521 218 752
293 940 59 354
19 243 126 996
769 809 132 893
904 149 770 925
498 951 511 163
298 825 763 630
915 646 117 954
421 380 541 847
742 875 502 240
773 665 61 181
318 36 756 381
227 575 510 476
525 960 583 828
355 49 678 811
126 441 82 47
996 396 324 348
425 324 508 975
502 473 404 233
979 825 593 645
576 882 760 901
718 176 107 195
134 163 16 359
207 425 237 510
84 11 374 834
262 985 716 634
409 619 629 831
360 476 30 316
799 337 744 104
555 150 282 829
532 76 789 640
474 590 290 233
154 686 604 922
541 97 565 151
922 675 979 817
914 23 944 121
445 182 922 604
455 983 295 705
583 947 998 846
524 378 648 131
993 69 654 300
489 850 608 5
848 337 982 854
786 58 699 72
927 19 572 639
150 988 424 837
424 659 776 6
323 118 275 477
678 880 996 841
670 899 669 909
45 183 312 152
297 198 460 709
170 788 566 163
627 312 473 50
71 518 196 373
819 287 389 123
766 486 766 178
266 305 211 300
840 530 929 249
578 176 405 108
983 864 406 295
810 565 224 87
638 139 354 375
181 993 590 891
776 688 356 668
406 718 969 556
669 65 533 909
273 23 251 702
884 158 591 139
836 167 606 932
903 854 391 700
757 941 2 518
224 891 663 926
995 771 685 803
746 132 284 149
162 870 521 842
147 405 407 328
861 857 486 515
893 842 244 958
537 443 725 64
906 263 195 471
232 336 991 139
615 511 716 715
382 787 921 807
525 334 13 232
278 106 32 777
728 677 751 577
29 743 940 510
497 698 104 455
128 537 632 896
588 117 646 734
83 107 233 460
688 525 232 820
702 364 55 229
304 622 40 851
402 666 264 40
108 929 81 892
999 489 435 895
326 728 671 879
76 367 595 765
439 434 470 154
937 474 396 455
993 567 802 342
975 23 502 320
254 19 520 149
415 652 34 225
132 269 252 893
89 13 728 107
28 900 596 131
685 665 189 118
765 48 867 739
133 162 953 827
729 743 221 584
489 864 994 850
121 801 525 700
341 466 479 547
805 169 328 731
798 971 520 971
347 837 23 914
944 340 236 101
748 124 337 36
350 84 559 610
177 551 759 766
444 821 415 308
560 686 674 918
669 899 31 766
928 312 183 593
381 826 65 969
65 454 426 468
762 281 335 162
588 741 51 667
850 594 629 91
898 816 23 536
665 979 985 775
563 783 594 575
571 793 323 353
191 492 290 865
708 691 203 414
148 709 876 87
409 632 58 893
709 148 319 728
1 278 635 182
813 468 25 284
388 245 319 269
354 309 661 375
456 457 686 980
118 454 12 988
951 777 874 144
46 363 268 94
181 895 635 545
525 801 678 143
996 872 218 841
87 662 288 953
540 472 578 623
656 560 945 881
590 816 539 521
328 14 186 471
973 249 300 654
528 411 917 168
881 945 802 897
308 641 816 742
865 967 481 249
894 774 753 375
647 456 222 874
670 3 942 965
228 276 486 102
4 157 729 264
154 353 379 170
721 36 404 830
130 194 365 434
181 911 926 895
324 392 536 461
187 948 482 330
634 606 382 262
809 416 765 948
935 206 789 64
953 817 518 690
61 976 142 653
571 630 739 23
338 745 470 434
275 938 755 541
709 658 384 658
976 132 809 466
309 751 677 766
502 153 72 358
654 788 176 457
365 816 891 224
634 895 824 518
327 542 228 270
751 520 473 637
51 741 464 662
651 978 117 149
652 252 264 794
375 319 91 195
867 809 150 837
675 922 194 375
678 49 546 238
45 502 451 362
182 333 741 157
238 324 732 410
952 849 957 486
718 371 686 929
144 971 743 951
165 689 688 308
600 615 705 787
342 55 805 727
393 818 642 33
508 80 458 975
411 22 783 168
929 710 481 940
192 545 303 622
859 726 479 424
496 227 513 547
245 187 536 218
428 428 900 84
525 112 68 522
854 294 912 585
173 716 332 860
500 130 434 361
266 488 519 305
565 830 387 24
425 120 238 11
953 288 369 252
80 211 456 324
316 188 827 420
870 162 794 594
367 168 917 595
613 241 725 978
580 107 420 646
915 149 284 795
791 211 783 7
854 903 544 848
800 450 116 173
117 263 172 550
460 926 162 9
865 167 847 285
766 602 537 190
943 262 573 469
553 59 417 311
709 303 388 529
336 203 272 292
427 474 511 615
378 56 481 483
937 722 595 261
45 921 547 621
978 725 824 117
301 355 700 767
516 304 894 6
129 67 305 477
808 757 380 45
353 154 872 597
541 101 627 838
670 382 930 508
874 838 514 115
61 196 38 887
19 344 826 635
920 249 682 429
586 837 424 479
21 252 673 502
140 415 383 834
944 131 715 831
789 476 486 536
636 710 354 664
165 308 415 724
237 425 632 853
230 667 715 493
183 719 573 753
822 796 882 789
583 954 973 966
962 211 606 688
591 158 625 756
281 168 266 761
292 559 826 836
473 927 26 900
897 982 337 595
299 89 550 945
728 482 594 893
174 515 826 663
785 580 613 611
82 441 895 680
401 915 449 521
991 597 895 96
449 411 545 943
162 623 578 953
865 285 819 470
658 84 424 301
663 612 94 425
919 252 369 116
305 67 832 397
903 917 662 544
158 773 174 625
915 954 224 288
641 31 179 816
55 189 549 650
993 181 938 339
257 254 865 20
980 908 216 70
878 39 532 591
762 134 303 274
20 225 920 141
339 278 230 493
667 614 14 588
860 615 715 244
967 707 272 218
494 853 212 233
956 383 763 830
207 806 318 621
392 710 662 536
25 816 898 188
579 606 117 588
766 602 766 228
371 253 227 506
719 364 490 239
943 757 808 113
748 48 490 124
577 246 173 388
376 627 491 628
129 637 473 897
7 880 736 533
24 68 319 245
910 766 129 277
